system	feature	region	relative_time_ms	estimate_tts_minus_bf	SE	CI95_low	CI95_high	wald_z	p_raw	p_bonferroni_within_trajectory	p_BH_global
A01	cpps	Boundary	-20	0.129963116867657	0.0393293948188694	0.0528789194889166	0.207047314246397	3.30447792207836	0.000951534701331608	0.00856381231198448	0.00150242321262886
A01	cpps	Boundary	-15	0.159086243756702	0.0324976252894058	0.0953920686063891	0.222780418907016	4.89531903762102	9.81463710173731e-07	8.83317339156358e-06	1.89614495647173e-06
A01	cpps	Boundary	-10	0.169784032443375	0.0349539070572862	0.101275633492134	0.238292431394617	4.85736922528045	1.18955651321699e-06	1.07060086189529e-05	2.28429330436595e-06
A01	cpps	Boundary	-5	0.148793746263775	0.032283253472333	0.085519732154225	0.212067760373326	4.60900715571597	4.04596409397427e-06	3.64136768457684e-05	7.56833283461069e-06
A01	cpps	Boundary	0	0.103503054707895	0.0351865509671287	0.0345386820721401	0.172467427343651	2.94155158329067	0.00326572446706105	0.0293915202035495	0.00483684635261935
A01	cpps	Boundary	5	0.0471451220718471	0.0322832534723323	-0.0161288920377019	0.110419136181396	1.46035845216938	0.144191585194471	1	0.173948877434909
A01	cpps	Boundary	10	-0.00431531427767295	0.0349539070572858	-0.0728237132289135	0.0641930846735676	-0.1234572796283	0.901745001350913	1	0.915961980587415
A01	cpps	Boundary	15	-0.038800656055452	0.0324976252894069	-0.102494831205768	0.0248935190948636	-1.19395357998972	0.23249612673868	1	0.27002837218006
A01	cpps	Boundary	20	-0.0625134343727957	0.0393293948188736	-0.139597631751544	0.0145707630059526	-1.58948376044669	0.111951217542658	1	0.137559842266481
A01	cpps	Interior_A	-20	0.188699654753256	0.039329394818874	0.111615457374507	0.265783852132005	4.79792927458675	1.60314361954443e-06	1.44282925758999e-05	3.04747320655962e-06
A01	cpps	Interior_A	-15	0.167639608782098	0.0324976252894064	0.103945433631784	0.231333783932413	5.15851873142083	2.48911209739115e-07	2.24020088765203e-06	4.96573178776904e-07
A01	cpps	Interior_A	-10	0.155581105937764	0.0349539070572855	0.0870727069865241	0.224089504889004	4.45103620842111	8.54569298706385e-06	7.69112368835747e-05	1.56539767850594e-05
A01	cpps	Interior_A	-5	0.157002595343641	0.0322832534723331	0.0937285812340904	0.220276609453192	4.86328292401485	1.15454633332958e-06	1.03909169999662e-05	2.2197444619033e-06
A01	cpps	Interior_A	0	0.158290150109376	0.0351865509671297	0.0893257774736191	0.227254522745133	4.49859806541558	6.84030421783333e-06	6.15627379604999e-05	1.26172664806902e-05
A01	cpps	Interior_A	5	0.147080991356934	0.032283253472333	0.0838069772473837	0.210355005466484	4.55595318120534	5.21485519815747e-06	4.69336967834172e-05	9.67516892073555e-06
A01	cpps	Interior_A	10	0.134109308271287	0.0349539070572854	0.0656009093200474	0.202617707222527	3.83674729269886	0.000124674647059254	0.00112207182353329	0.000212013570934988
A01	cpps	Interior_A	15	0.131903301280746	0.0324976252894064	0.0682091261304312	0.19559747643106	4.05885968916454	4.93129312318127e-05	0.000443816381086314	8.61621545698705e-05
A01	cpps	Interior_A	20	0.137070247723964	0.0393293948188739	0.0599860503452153	0.214154445102713	3.48518578420091	0.000491795450721167	0.0044261590564905	0.000798728055818851
