system	feature	region	estimate_tts_minus_bf	SE	CI95_low	CI95_high	wald_z	p_raw	p_BH
A01	centroid	Boundary	-0.119282746137898	0.00765480309129517	-0.134285884505582	-0.104279607770213	-15.5827321376225	9.53890072552568e-55	4.18781007462103e-54
A01	centroid	Interior_A	-0.0588407476533901	0.00765480309129519	-0.0738438860210745	-0.0438376092857056	-7.68677481989079	1.5089036518057e-14	3.05171525084298e-14
A01	centroid	Interior_B	-0.0675934812324688	0.00765480309129519	-0.0825966196001532	-0.0525903428647844	-8.83020509166775	1.04483961478022e-18	2.35088913325551e-18
A01	cpps	Boundary	0.0725162123783702	0.0279942865482539	0.0176484189708984	0.127384005785842	2.59039330233952	0.00958663346074569	0.0120670910694701
A01	cpps	Interior_A	0.153041884839896	0.0279942865482546	0.0981740914324233	0.207909678247369	5.46689713188773	4.57981652529837e-08	8.08202916229124e-08
A01	cpps	Interior_B	-0.0633507137334407	0.0279942865482546	-0.118218507140914	-0.00848292032596766	-2.26298725721198	0.0236364748176224	0.029140859364192
A01	energy	Boundary	-0.156623400538685	0.00998178362253002	-0.176187336940315	-0.137059464137054	-15.690923231913	1.74499066254736e-55	8.05380305791091e-55
A01	energy	Interior_A	-0.187100673899889	0.0099817836225303	-0.20666461030152	-0.167536737498258	-18.7442125551165	2.1584329588088e-78	1.43895530587253e-77
A01	energy	Interior_B	-0.230035966308941	0.0099817836225303	-0.249599902710572	-0.21047202990731	-23.045577324449	1.62905392742899e-117	1.54331424703799e-116
A01	flatness	Boundary	-0.109588509725145	0.00685612291196363	-0.123026263706174	-0.0961507557441165	-15.9840351656937	1.65103433306477e-57	7.82068894609628e-57
A01	flatness	Interior_A	-0.172595465044378	0.00685612291196366	-0.186033219025407	-0.15915771106335	-25.1739164044458	7.7346320278442e-140	9.28155843341304e-139
A01	flatness	Interior_B	-0.189809178435169	0.00685612291196366	-0.203246932416197	-0.17637142445414	-27.6846230548112	1.06945565406727e-168	2.7500288247444e-167
A01	flux	Boundary	-0.106429694216622	0.0122034174415729	-0.130347952890413	-0.0825114355428311	-8.72130243238687	2.75019773045071e-18	6.11155051211269e-18
A01	flux	Interior_A	-0.136696597105438	0.0122034174415728	-0.160614855779229	-0.112778338431648	-11.201501363033	4.00881310020863e-29	1.11013285851931e-28
A01	flux	Interior_B	-0.13104116658481	0.0122034174415728	-0.154959425258601	-0.10712290791102	-10.7380712994705	6.74384973221935e-27	1.81178052507385e-26
A01	tilt	Boundary	-0.0532809834466736	0.009706609360385	-0.0723055882050276	-0.0342563786883196	-5.48914471248076	4.03884631770851e-08	7.19794393254982e-08
A01	tilt	Interior_A	-0.0319117153890025	0.00970660936038486	-0.0509363201473562	-0.0128871106306488	-3.28762745096576	0.00101035444525538	0.00142081093864038
A01	tilt	Interior_B	-0.0413296761589569	0.00970660936038486	-0.0603542809173106	-0.0223050714006032	-4.25789012666295	2.06365324415485e-05	3.14794562667689e-05
A02	centroid	Boundary	0.0152738566469966	0.00729636956787723	0.000973235076063126	0.02957447821793	2.09335019353197	0.0363179050478883	0.0441704250582425
A02	centroid	Interior_A	0.0217100005309721	0.00729636956787738	0.00740937896003838	0.0360106221019059	2.97545242589567	0.00292556724158272	0.00391218030486693
A02	centroid	Interior_B	0.0122548308162661	0.00729636956787738	-0.00204579075466768	0.0265554523871998	1.6795792348867	0.0930392106369269	0.1073529353503
A02	cpps	Boundary	0.118103440005083	0.0351777376892516	0.0491563410765522	0.187050538933613	3.35733471687034	0.000786977794755078	0.00112425399250725
A02	cpps	Interior_A	0.16083936835552	0.0351777376892516	0.0918922694269899	0.229786467284051	4.57219192934809	4.82648531879463e-06	7.97034272828472e-06
A02	cpps	Interior_B	0.104638127607757	0.0351777376892516	0.0356910286792268	0.173585226536288	2.97455534327123	0.0029341352286502	0.00391218030486693
A02	energy	Boundary	-0.249143134332953	0.00986597547229833	-0.268480090931013	-0.229806177734893	-25.2527623885238	1.05613916288945e-140	1.46234653323155e-139
A02	energy	Interior_A	-0.238210344076413	0.00986597547229837	-0.257547300674474	-0.218873387478353	-24.1446316935673	8.50195119966677e-129	8.50195119966677e-128
A02	energy	Interior_B	-0.240370727061273	0.00986597547229836	-0.259707683659333	-0.221033770463212	-24.363604768346	4.15980884985684e-131	4.40450348808372e-130
A02	flatness	Boundary	0.104398142304327	0.00757366174238461	0.0895540380581645	0.11924224655049	13.7843682297141	3.16525393692745e-43	1.11714844832734e-42
A02	flatness	Interior_A	0.0686075099116265	0.00757366174238444	0.0537634056654641	0.0834516141577889	9.05869739701718	1.32017631703391e-19	3.00799667172283e-19
A02	flatness	Interior_B	0.0899419974661312	0.00757366174238445	0.0750978932199688	0.104786101712294	11.8756290583707	1.58437717438941e-32	4.67521133426384e-32
A02	flux	Boundary	-0.0743274548326003	0.0125458255306347	-0.0989168210289673	-0.0497380886362333	-5.92447700241853	3.13292848517301e-09	5.7543584421545e-09
A02	flux	Interior_A	-0.116659286092685	0.0125458255306342	-0.141248652289051	-0.0920699198963185	-9.29865362847806	1.42235308704697e-20	3.28235327780071e-20
A02	flux	Interior_B	-0.0802973669456423	0.0125458255306342	-0.104886733142009	-0.0557080007492761	-6.40032549070391	1.55046067925947e-10	2.93771497122847e-10
A02	tilt	Boundary	0.125357047996369	0.0091240880115675	0.107474164101923	0.143239931890815	13.7391318274704	5.9181187993118e-43	2.00992713938891e-42
A02	tilt	Interior_A	0.0881350993749524	0.00912408801156788	0.0702522154805056	0.106017983269399	9.65960644649758	4.47580071130897e-22	1.07419217071415e-21
