system	feature	Boundary_average_estimate_tts_minus_bf	Boundary_average_BH_significant	Boundary_global_trajectory_BH_significant	Boundary_shape_BH_significant	Interior_A_average_estimate_tts_minus_bf	Interior_A_average_BH_significant	Interior_A_global_trajectory_BH_significant	Interior_A_shape_BH_significant	Interior_B_average_estimate_tts_minus_bf	Interior_B_average_BH_significant	Interior_B_global_trajectory_BH_significant	Interior_B_shape_BH_significant
A09	tilt	0.274619051102751	TRUE	TRUE	FALSE	0.291921270628349	TRUE	TRUE	FALSE	0.286426505709878	TRUE	TRUE	FALSE
A10	centroid	-0.0194023593146741	TRUE	FALSE	FALSE	0.00233580669327213	FALSE	FALSE	FALSE	-0.00200599121674074	FALSE	FALSE	FALSE
A10	cpps	-0.0397264913813086	FALSE	FALSE	FALSE	-0.0826723262533275	TRUE	FALSE	FALSE	-0.0350824877439731	FALSE	FALSE	FALSE
A10	energy	-0.0390612339672587	TRUE	TRUE	FALSE	-0.0460437932822702	TRUE	TRUE	FALSE	-0.0437878254145336	TRUE	TRUE	FALSE
A10	flatness	-0.00365824457554977	FALSE	FALSE	FALSE	0.0247195833389988	TRUE	TRUE	FALSE	0.0351644972309105	TRUE	TRUE	FALSE
A10	flux	-0.0506837627416136	TRUE	TRUE	FALSE	-0.0251952250449631	FALSE	FALSE	FALSE	-0.0259906568746353	FALSE	FALSE	FALSE
A10	tilt	-0.0185339345987325	FALSE	FALSE	FALSE	-0.00578984748408934	FALSE	FALSE	FALSE	-0.0144622740375938	FALSE	FALSE	FALSE
A11	centroid	-0.0526168157824747	TRUE	TRUE	TRUE	-0.0286264465187936	TRUE	TRUE	FALSE	-0.0150172396600923	FALSE	FALSE	FALSE
A11	cpps	-0.321529645259875	TRUE	TRUE	TRUE	-0.450806556516446	TRUE	TRUE	FALSE	-0.23454838955506	TRUE	TRUE	FALSE
A11	energy	-0.0298458759481112	TRUE	TRUE	TRUE	-0.0399441981726433	TRUE	TRUE	FALSE	-0.0589179958273218	TRUE	TRUE	FALSE
A11	flatness	-0.000242678052837602	FALSE	TRUE	TRUE	0.0230437648189526	TRUE	TRUE	TRUE	0.0428827756645674	TRUE	TRUE	FALSE
A11	flux	-0.0116606291480681	FALSE	TRUE	TRUE	0.0640748653074341	TRUE	TRUE	TRUE	0.0801046893174357	TRUE	TRUE	TRUE
A11	tilt	-0.0648141864336544	TRUE	TRUE	TRUE	-0.0813268326173936	TRUE	TRUE	FALSE	-0.068756174345244	TRUE	TRUE	FALSE
A12	centroid	0.0769378663914873	TRUE	TRUE	TRUE	0.0924736334600131	TRUE	TRUE	FALSE	0.105860019598707	TRUE	TRUE	FALSE
A12	cpps	0.00867378856221621	FALSE	FALSE	FALSE	-0.0493270814908424	FALSE	FALSE	FALSE	0.0213953751653565	FALSE	FALSE	FALSE
A12	energy	-0.0509177597386654	TRUE	TRUE	FALSE	-0.0492586767046154	TRUE	TRUE	TRUE	-0.0295039632869158	TRUE	FALSE	FALSE
A12	flatness	0.0717931344785472	TRUE	TRUE	TRUE	0.0973137546549981	TRUE	TRUE	FALSE	0.112581162479953	TRUE	TRUE	FALSE
A12	flux	-0.0610197813709067	TRUE	TRUE	TRUE	-0.0806748142735611	TRUE	TRUE	FALSE	-0.0603793305681038	TRUE	TRUE	FALSE
A12	tilt	0.0414609759092734	TRUE	TRUE	FALSE	0.0369603258969638	TRUE	TRUE	FALSE	0.0335334251504508	TRUE	TRUE	FALSE
