attempt	random_structure	singular	zero_variance_components	variance_components	residual_variance	zero_threshold
1	token_occurrence_id + match_id + utterance_id	TRUE	match_id	token_occurrence_id=0.08158185201163690;match_id=0.00000000000000000;utterance_id=0.08500947453067573;Residual=0.73315431439033707	0.733154314390337	7.33154314390337e-07
2	token_occurrence_id + utterance_id	FALSE		token_occurrence_id=0.08158175085681238;utterance_id=0.08500946357522347;Residual=0.73315433752690484	0.733154337526905	7.33154337526905e-07
