attempt	random_structure	singular	zero_variance_components	variance_components	residual_variance	zero_threshold
1	token_occurrence_id + match_id + utterance_id	TRUE	match_id	token_occurrence_id=1.204888149462399e-01;utterance_id=1.191362806865072e-01;match_id=1.808496023236691e-14;Residual=4.521240058091728e-01	0.452124005809173	4.52124005809173e-07
2	token_occurrence_id + utterance_id	FALSE		token_occurrence_id=0.1204884943099383;utterance_id=0.1191365108303407;Residual=0.4521240153255461	0.452124015325546	4.52124015325546e-07
