system,feature,time_ms,estimate,significant,equivalent
A04,cpps,0,0.0467145399865852,False,False
A04,cpps,5,0.0378356934824515,False,True
A04,cpps,10,0.0293241433993733,False,True
A04,cpps,15,-0.0035966026802292,False,True
A04,cpps,20,-0.0528309568042988,False,False
A07,cpps,-20,-0.0175870611369374,False,False
A07,cpps,-15,-0.0084427001511967,False,True
A07,cpps,-10,-0.0065483790754561,False,True
A07,cpps,-5,-0.0156237786872721,False,True
A07,cpps,0,-0.0252671432344282,False,True
A07,cpps,5,-0.0250975263536228,False,True
A07,cpps,10,-0.0189386557669863,False,True
A07,cpps,15,-0.0128208081326209,False,True
A07,cpps,20,-0.0073957817670841,False,True
A08,cpps,-20,0.0545558597358632,False,False
A08,cpps,-15,0.040003372494582,False,False
A08,cpps,-10,0.0206416942617623,False,True
A08,cpps,-5,-0.0065820600544446,False,True
A08,cpps,0,-0.0376955519471284,False,False
A08,cpps,5,-0.0662254700784324,True,False
A08,cpps,10,-0.0827198353854741,True,False
A08,cpps,15,-0.0805341261080045,True,False
A08,cpps,20,-0.0672323174213343,False,False
A09,cpps,-20,-0.0832928054160852,False,False
A09,cpps,-15,-0.0280055382608705,False,True
A09,cpps,-10,0.0140113396243671,False,True
A09,cpps,-5,0.034082611435246,False,True
A09,cpps,0,0.0419137502297659,False,False
A09,cpps,5,0.0483463435357106,False,False
A09,cpps,10,0.0503857468976196,False,False
A09,cpps,15,0.043557782639042,False,True
A09,cpps,20,0.0313063721828108,False,False
A10,cpps,-20,-0.0310125569512341,False,False
A10,cpps,-15,0.0031331792388055,False,True
A10,cpps,-10,0.0299762489664035,False,True
A10,cpps,-5,0.0440004875146972,False,True
A10,cpps,0,0.0468357371491412,False,False
A10,cpps,5,0.0415612319532577,False,True
A10,cpps,10,0.0299077663005232,False,True
A10,cpps,15,0.0134521835634826,False,True
A10,cpps,20,-0.0054960371790009,False,True
A11,cpps,-20,-0.0525386483772183,False,False
A11,cpps,-15,-0.0197563367328019,False,True
A11,cpps,-10,0.0079322764878092,False,True
A11,cpps,-5,0.0270315695020507,False,True
A11,cpps,0,0.0404382270923215,False,False
A11,cpps,5,0.0509461059891084,False,False
A11,cpps,10,0.0545454441502847,False,False
A11,cpps,15,0.0475289532523579,False,True
A11,cpps,20,0.0342028586189858,False,False
A12,cpps,-20,-0.0321655738173618,False,False
A12,cpps,-15,-0.010156012093966,False,True
A12,cpps,-10,0.0140428841690352,False,True
A12,cpps,-5,0.039514900715673,False,True
A12,cpps,0,0.0529216281076805,False,False
A12,cpps,5,0.0444041772956917,False,False
A12,cpps,10,0.0304439359682396,False,True
A12,cpps,15,0.0287943126563691,False,True
A12,cpps,20,0.035956522523271,False,False
A01,energy,-20,-0.0247005093069678,False,True
A01,energy,-15,0.0049566688306773,False,True
A01,energy,-10,0.0361839449786082,True,True
A01,energy,-5,0.0683296465852851,True,True
A01,energy,0,0.0918550188518654,True,False
A01,energy,5,0.0977027494103221,True,False
A01,energy,10,0.0876283778631932,True,False
A01,energy,15,0.0663028104989952,True,True
A01,energy,20,0.0392455683795939,False,True
A02,energy,-20,0.0273645076934042,False,True
A02,energy,-15,0.0444762357441833,True,True
A02,energy,-10,0.0441289712524894,True,True
A02,energy,-5,0.0165469158644823,False,True
A02,energy,0,-0.0173129520191481,False,True
A02,energy,5,-0.0357639242404826,True,True
A02,energy,10,-0.0449331503672165,True,True
A02,energy,15,-0.0554045697398906,True,True
A02,energy,20,-0.0677754230648138,True,False
A03,energy,-20,-0.0931842094000082,True,False
A03,energy,-15,-0.0947675521982659,True,False
A03,energy,-10,-0.0978692649965916,True,False
A03,energy,-5,-0.100561961307336,True,False
A03,energy,0,-0.0871352286919791,True,False
A03,energy,5,-0.0462568750954571,True,True
A03,energy,10,0.0021093840526081,False,True
A03,energy,15,0.0364987873973255,True,True
A03,energy,20,0.0607382973674173,True,True
A04,energy,-20,0.0066672659190783,False,True
A04,energy,-15,0.0166323033139175,False,True
A04,energy,-10,0.0254232169968686,False,True
A04,energy,-5,0.0316295851282924,True,True
A04,energy,0,0.0328957933575427,True,True
A04,energy,5,0.0275463131452385,True,True
A04,energy,10,0.0175711517080643,False,True
A04,energy,15,0.0055355758482014,False,True
A04,energy,20,-0.0073596450462459,False,True
A07,energy,-20,0.0223399048837039,False,True
A07,energy,-15,0.0175755203446185,False,True
A07,energy,-10,0.0103802326843661,False,True
A07,energy,-5,-0.0010148033238389,False,True
A07,energy,0,-0.0157302013292555,False,True
A07,energy,5,-0.032049334110349,True,True
A07,energy,10,-0.0475548425399349,True,True
A07,energy,15,-0.0603701220696081,True,True
A07,energy,20,-0.0714823183717292,True,False
A08,energy,-20,-0.0465121210312921,True,True
A08,energy,-15,-0.0136577700722115,False,True
A08,energy,-10,0.0188812545521558,False,True
A08,energy,-5,0.0512673562510273,True,True
A08,energy,0,0.0855738574093441,True,False
A08,energy,5,0.120739245608044,True,False
A08,energy,10,0.141251750236329,True,False
A08,energy,15,0.133989193556017,True,False
A08,energy,20,0.10983802751113,True,False
A09,energy,-20,0.0611926186923794,True,False
A09,energy,-15,0.0674319872949426,True,True
A09,energy,-10,0.0733553016688911,True,False
A09,energy,-5,0.0756419866849572,True,False
A09,energy,0,0.0589533836112619,True,True
A09,energy,5,0.012163199711739,False,True
A09,energy,10,-0.0469873101638139,True,True
A09,energy,15,-0.0987495125410304,True,False
A09,energy,20,-0.14421280703313,True,False
A10,energy,-20,-0.0037137675985384,False,True
A10,energy,-15,-0.0015053573451404,False,True
A10,energy,-10,0.0040812970784178,False,True
A10,energy,-5,0.0141412761846023,False,True
A10,energy,0,0.0206370058551007,False,True
A10,energy,5,0.0164511661342434,False,True
A10,energy,10,0.0072801083477079,False,True
A10,energy,15,0.0002140941938118,False,True
A10,energy,20,-0.0048946444199161,False,True
A11,energy,-20,-0.0134175910228755,False,True
A11,energy,-15,0.003565163654709,False,True
A11,energy,-10,0.019209256833979,False,True
A11,energy,-5,0.0321401209155555,True,True
A11,energy,0,0.0408395638958021,True,True
A11,energy,5,0.0434315146429022,True,True
A11,energy,10,0.0367520099165755,True,True
A11,energy,15,0.0189592188057271,False,True
A11,energy,20,-0.0052122681755328,False,True
A12,energy,-20,-0.0346183661675265,False,True
A12,energy,-15,-0.0363284081857682,True,True
A12,energy,-10,-0.0323329428786893,True,True
A12,energy,-5,-0.0194839215775835,False,True
A12,energy,0,-0.0048631302401998,False,True
A12,energy,5,0.0038921772502097,False,True
A12,energy,10,0.0071527099348391,False,True
A12,energy,15,0.0071558905433989,False,True
A12,energy,20,0.0055980336352212,False,True
A01,flatness,-20,0.0508002306498349,True,True
A01,flatness,-15,0.0707993918078773,True,True
A01,flatness,-10,0.0952934465855495,True,False
