feature_family	target_system	matched_pairs	duration_A_SMD	duration_B_SMD	duration_SMD_0_25_pass
short_frame	A01	9205	-0.13942585188311657	-0.1456217588407496	True
short_frame	A02	9219	-0.13164756077375991	-0.12600158442634335	True
short_frame	A03	9250	-0.05203747906523816	-0.07505465237943555	True
short_frame	A04	9241	-0.05897852883876333	-0.07931720806848079	True
short_frame	A07	8574	-0.057477304981995964	-0.08951529416136224	True
short_frame	A08	8537	-0.09693042962507407	-0.10482773211182891	True
short_frame	A09	8555	-0.0719284845044277	-0.08162926393436089	True
short_frame	A10	8573	-0.07591337428654703	-0.08765827383841861	True
short_frame	A11	8571	-0.07982028445229934	-0.0834903362738838	True
short_frame	A12	8570	-0.06583284676217803	-0.09169337183890869	True
flatness_official_extension	A01	9205	-0.13935214712556945	-0.14541676428096734	True
flatness_official_extension	A02	9219	-0.13164756077375991	-0.1263007103167739	True
flatness_official_extension	A03	9250	-0.05211181876928176	-0.07513546736732149	True
flatness_official_extension	A04	9241	-0.05884076185865396	-0.07931720806848078	True
flatness_official_extension	A07	8574	-0.05739745199017124	-0.08964017989771257	True
flatness_official_extension	A08	8537	-0.09700639188783139	-0.10476569386803938	True
flatness_official_extension	A09	8555	-0.0719284845044277	-0.08156346964581396	True
flatness_official_extension	A10	8573	-0.07591536968611233	-0.08770646889927078	True
flatness_official_extension	A11	8571	-0.08021272268643617	-0.0834903362738838	True
flatness_official_extension	A12	8570	-0.06582421487505055	-0.09169193259164413	True
cpps_complete_three_region	A01	923	-0.19999794115357666	-0.19997970762038603	True
cpps_complete_three_region	A02	914	-0.19999430051866737	-0.19909366139764365	True
cpps_complete_three_region	A03	1078	-0.15846351673823897	-0.1280664059413176	True
cpps_complete_three_region	A04	1070	-0.13100598140739464	-0.16685163378403972	True
cpps_complete_three_region	A07	916	-0.13502108778853503	-0.19990879213017065	True
cpps_complete_three_region	A08	875	-0.19958105102121954	-0.18450872762270282	True
cpps_complete_three_region	A09	853	-0.10793206121967876	-0.1483180897229048	True
cpps_complete_three_region	A10	910	-0.1492017689670384	-0.19995762828396274	True
cpps_complete_three_region	A11	921	-0.15831173638193563	-0.1817124222081294	True
cpps_complete_three_region	A12	922	-0.17751717305885992	-0.19999642198631515	True
